id_namespace	id	persistent_id	creation_time	abbreviation	name	description
cfde_id_namespace_id:BCDC	zhangK_cj_snareseq_R			Marmoset RNA-seq	High-throughput sequencing of the transcriptome and accessible chromatin in the same cells of the Primary Motor Cortex	~10,000 dual-omic data sets generated from 2 different marmoset MOp samples provided by Guoping Feng's group.
cfde_id_namespace_id:BCDC	zhangK_hs_snareseq_AC			Human ATAC-seq	High-throughput sequencing of the transcriptome and accessible chromatin in the same cells of the Primary Motor Cortex	~90,000 dual-omic data sets of human primary motor cortex (MOp) SNARE-seq2 data sets that were generated using samples from 2 individuals provided by the Allen Brain Institute. 
cfde_id_namespace_id:BCDC	zhangK_hs_snareseq_R			Human RNA-seq	High-throughput sequencing of the transcriptome and accessible chromatin in the same cells of the Primary Motor Cortex	~90,000 dual-omic data sets of human primary motor cortex (MOp) SNARE-seq2 data sets that were generated using samples from 2 individuals provided by the Allen Brain Institute. 
cfde_id_namespace_id:BCDC	zhangl_seqfish			Spinal cord connectome seqFish	Cell Atlas of Mouse Brain-Spinal Cord Connectome using seqFISH	Deep transcriptomic analysis of the mouse spinal cord.
cfde_id_namespace_id:BCDC	huang_sn_10xv3			Single nucleus 10xv3	Transcriptomic cell types in the mouse brain: 10x nuclei (v2)	Single nucleus profiling of cell types using 10X v3.
cfde_id_namespace_id:BCDC	ecker_hu_DNAseq			DNA sequencing	DNA genome sequence of  individual human brain donors	DNA genome sequence of  individual human brain donors.
cfde_id_namespace_id:BCDC	ecker_hu_sn_mCseq			Chromatin single cell	Chromatin accessibility profiling of genomic DNA in individual human brain nuclei	Chromatin accessibility profiling of genomic DNA in individual human brain nuclei.
cfde_id_namespace_id:BCDC	ecker_hu_sn_ATACseq			DNA methylation single cell	DNA methylation profiling of genomic DNA in individual human brain cell nuclei	DNA methylation profiling of genomic DNA in individual human brain cell nuclei.
cfde_id_namespace_id:BCDC	fischl_mri			MRI data of left hemisphere 	Multi-resolution structural and diffusion MRI for the ex vivo whole human hemisphere	Multi-resolution structural and diffusion MRI collected on ex vivo whole human hemispheres at field strengths of 3 T and 7 T. This dataset provides undistorted volumetric images of the human cerebral cortex to facilitate an MRI-based atlas coordinate system to which distorted histological cell typic can be registered.
cfde_id_namespace_id:BCDC	fischl_oct			Volumetric OCT data	Serial sectioning block-face polarization sensitive optical coherence tomography of ex vivo human brain blocks	Volumetric OCT data collected from ex vivo human brain area BA 44/45 after index matching with 60% v/v TDE. Serial sectioning was performed with a slice thickness of 500 um. Block-face OCT acquisition was performed with a 4x objective with 5 um isotropic resolution. Each image tile has FOV of 3x3 mm2 and was stitched with adjacent image tiles during post-processing. The focal plane depth was shifted three times for each slice to cover the whole thickness of the 500um slice.
cfde_id_namespace_id:BCDC	tasic_ATACseq			ATACseq	Chromatin accessibility data from mouse V1	Single cell ATAC seq data from mouse V1.
cfde_id_namespace_id:BCDC	tasic_stpt			STPT	Imaging of enhancer virus labeling	Serial two photon tomography characterizating fluorescent reporter expression from enhancer viruses in mouse brain.
